Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
211,Joel Paris,2016,2,0,0,0,,,0/0,96,0,93,1,Jan-40,93,0,1,0,[217],Bowler
212,Adam Zampa,2016–,116,59,21,378,36,9.94,0/0,"6,046",17,"5,604",196,May-35,28.59,1,20,0,[218],Bowler
213,Travis Head,2016–,79,76,7,"3,007",154*,43.57,Jul-17,"1,203",0,"1,152",28,Apr-28,41.14,0,19,0,[219],Batsman
214,Daniel Worrall,2016,3,1,1,6,6*,,0/0,158,0,171,1,Jan-43,171,0,1,0,[220],Batsman
215,Joe Mennie,2016,2,2,0,1,1,0.5,0/0,120,2,131,3,Mar-49,43.66,0,0,0,[221],Batsman
216,Chris Tremain,2016,4,3,2,23,23*,23,0/0,240,0,255,7,Mar-64,36.42,0,1,0,[222],Batsman
217,Chris Lynn,2017–2018,4,4,0,75,44,18.75,0/0,0,0,0,0,,,0,3,0,[223],Batsman
218,Billy Stanlake,2017–2019,7,5,2,4,2,1.33,0/0,354,3,324,7,Mar-35,46.28,0,1,0,[224],Batsman
219,Peter Handscomb,2017–2019,22,20,1,632,117,33.26,01-Apr,0,0,0,0,,,0,14,0,[225],Batsman
220,Sam Heazlett,2017,1,1,0,4,4,4,0/0,0,0,0,0,,,0,0,0,[226],Batsman
221,Hilton Cartwright,2017,2,2,0,2,1,1,0/0,0,0,0,0,,,0,1,0,[227],Batsman
222,Andrew Tye,2018,7,7,3,57,19,14.25,0/0,387,0,392,12,May-46,32.66,1,1,0,[228],Batsman
223,Alex Carey,2018–,85,77,13,"2,245",106,35.07,Jan-13,0,0,0,0,,,0,95,9,[229],Wicketkeeper
224,Jhye Richardson,2018–2022,15,9,4,93,29,18.6,0/0,810,11,793,27,Apr-26,29.37,0,5,0,[230],Bowler
225,Michael Neser,2018–2023,2,2,0,8,6,4,0/0,100,1,120,2,Feb-46,60,0,0,0,[231],Batsman
226,D'Arcy Short,2018–2020,8,8,1,211,69,30.14,0/1,90,0,114,0,,,0,2,0,[232],Batsman
227,Jason Behrendorff,2019–2022,12,6,3,21,11*,7,0/0,645,7,568,16,May-44,35.5,1,3,0,[233],Batsman
228,Ashton Turner,2019–,9,7,1,192,84*,32,0/1,84,1,60,2,Jan-23,30,0,4,0,[234],Batsman
229,Marnus Labuschagne,2020–,66,58,4,"1,871",124,34.64,02-Dec,323,1,358,10,Mar-39,35.8,0,41,0,[235],Batsman
230,Cameron Green,2020–,31,27,9,782,118*,43.44,01-Feb,814,0,784,20,May-33,39.2,1,21,0,[236],AllRounder
231,Wes Agar,2021,2,2,0,50,41,25,0/0,66,1,39,0,,,0,0,0,[237],Batsman
232,Ben McDermott,2021–2023,5,5,0,223,104,44.6,01-Jan,,,,,,,,0,0,[238],Batsman
233,Josh Philippe,2021–,4,4,0,102,39,25.5,0/0,,,,,,,,4,0,[239],Batsman
234,Riley Meredith,2021–,1,1,1,0,0*,,0/0,30,0,36,0,,,0,0,0,[240],Batsman
235,Nathan Ellis,2022–,17,12,4,106,18,13.25,0/0,837,4,779,18,Feb-13,43.27,0,4,0,[241],Batsman
236,Mitchell Swepson,2022,2,0,0,0,,,0/0,98,0,103,2,Feb-53,51.5,0,0,0,[242],Batsman
237,Matthew Kuhnemann,2022–,5,2,0,16,15,8,0/0,252,3,217,8,Feb-26,27.12,0,2,0,[243],Batsman
238,Josh Inglis,2022–,33,29,3,766,120*,29.46,01-Apr,0,0,0,0,,,0,30,4,[244],Wicketkeeper
239,Aaron Hardie,2023–,15,12,0,180,44,15,0/0,426,5,392,10,Feb-13,39.2,0,6,0,[245],Batsman
240,Tim David,2023–,4,4,0,45,35,11.25,0/0,12,0,20,1,Jan-20,20,0,0,0,[246],Batsman
241,Tanveer Sangha,2023–,4,3,2,6,5*,6,0/0,174,0,200,2,Jan-61,100,0,0,0,[247],Batsman
242,Matthew Short,2023–,18,16,0,392,74,24.5,0/3,336,0,323,2,Jan-39,161.5,0,7,0,[248],Batsman
243,Spencer Johnson,2023–,5,3,2,12,12*,12,0/0,240,0,236,4,Feb-44,59,0,0,0,[249],Batsman
244,Xavier Bartlett,2024–,5,2,0,11,8,5.5,0/0,247,3,167,15,Apr-17,11.13,0,0,0,[250],Batsman
245,Lance Morris,2024–,3,1,0,,,,,123,3,96,4,Feb-13,24,0,1,0,[251],Batsman
246,Jake Fraser-McGurk,2024–,7,7,0,98,41,14,0/0,0,0,0,0,,,0,3,0,[252],Batsman
247,Will Sutherland,2024–,2,1,0,18,18,18,0/0,51,0,33,2,Feb-28,16.5,0,1,0,[253],AllRounder
248,Ben Dwarshuis,2024–,6,3,0,61,33,20.33,0/0,294,1,270,11,Mar-47,24.54,0,1,0,[254],Bowler
249,Cooper Connolly,2024–,8,5,2,94,61*,31.33,0/1,156,0,137,6,May-22,22.83,1,2,0,[255],AllRounder
250,Mitchell Owen,2025–,3,2,0,37,36,18.5,0/0,36,0,42,2,Feb-20,21,0,0,0,[256],Batsman
251,Matt Renshaw,2025–,3,3,1,107,56,53.5,0/1,0,0,0,0,,,0,3,0,[257],Batsman
252,Oliver Peake,2026–,,,,,,,,,,,,,,,,,,Batsman
253,Liam Scott,2026–,,,,,,,,,,,,,,,,,,Batsman
